S/N,StudentID,FirstName,LastName,Gender,Department,Birth date
1,BIO / 1001,Derek,Holland,Female,Biology,22/11/1996
1,CHE / 1001,Kimberly,Cruz,Male,Chemistry,25/12/2002
1,COM / 1001,Elizabeth,Fisher,Female,Computer Science,26/10/2002
1,ECO / 1001,Justin,Wright,Male,Economics,06/04/2002
1,ENG / 1001,Jennifer,Daniels,Male,English,17/07/1997
1,HIS / 1001,James,Jones,Female,History,26/12/2000
1,MAT / 1001,Barbara,Thompson,Male,Mathematics,07/03/1997
1,PHY / 1001,Cole,Watkins,Female,Physics,07/11/2000
1,POL / 1001,Stephen,Carter,Female,Political Science,29/09/1998
1,PSY / 1001,Jill,Tran,Female,Psychology,14/03/2001
2,BIO / 1002,Michael,Dorsey,Male,Biology,13/04/2002
2,CHE / 1002,Ernest,Thompson,Female,Chemistry,01/09/2000
2,COM / 1002,Sarah,Boyd,Female,Computer Science,15/10/1996
2,ECO / 1002,Benjamin,Mclean,Male,Economics,18/02/1996
2,ENG / 1002,Janice,Wilson,Female,English,12/05/1997
2,HIS / 1002,Robert,Mora,Female,History,06/02/1999
2,MAT / 1002,Rachel,Mann,Female,Mathematics,15/11/1999
2,PHY / 1002,Lisa,Robinson,Female,Physics,26/07/2001
2,POL / 1002,Paul,Collier,Male,Political Science,12/10/1998
2,PSY / 1002,Jacqueline,Roberts,Male,Psychology,19/02/2001
3,BIO / 1003,Andrew,Wilson,Female,Biology,09/11/1999
3,CHE / 1003,Brian,Butler,Female,Chemistry,24/08/2002
3,COM / 1003,Daniel,Shepherd,Male,Computer Science,11/05/2001
3,ECO / 1003,Amanda,Haynes,Female,Economics,22/10/2000
3,ENG / 1003,Melissa,Walls,Male,English,01/06/2002
3,HIS / 1003,Angela,Nelson,Female,History,11/05/2002
3,MAT / 1003,Hannah,Brown,Female,Mathematics,23/05/1996
3,PHY / 1003,Anthony,Bailey,Female,Physics,19/06/1999
3,POL / 1003,Carol,Campos,Male,Political Science,04/06/1997
3,PSY / 1003,Gregory,Hampton,Male,Psychology,13/11/1996
4,BIO / 1004,Jennifer,Decker,Male,Biology,21/04/2000
4,CHE / 1004,Christopher,Price,Male,Chemistry,08/03/1996
4,COM / 1004,Kayla,Mitchell,Male,Computer Science,12/08/1998
4,ECO / 1004,Erica,Benson,Male,Economics,23/01/2002
4,ENG / 1004,Rachel,Hernandez,Female,English,13/11/1996
4,HIS / 1004,Stephanie,Clark,Female,History,08/05/2000
4,MAT / 1004,Pamela,Jackson,Male,Mathematics,10/08/1999
4,PHY / 1004,Maria,Johnston,Male,Physics,27/04/2001
4,POL / 1004,Catherine,Lee,Male,Political Science,08/12/2002
4,PSY / 1004,Melissa,Bradford,Female,Psychology,29/09/1996
5,BIO / 1005,Joyce,Vega,Female,Biology,14/08/2001
5,CHE / 1005,Zachary,Tyler,Male,Chemistry,21/10/1997
5,COM / 1005,Diana,Manning,Male,Computer Science,03/04/1998
5,ECO / 1005,Roy,Moran,Female,Economics,24/07/1999
5,ENG / 1005,Michael,Ruiz,Male,English,06/12/1999
5,HIS / 1005,Mathew,Mendoza,Female,History,19/11/2001
5,MAT / 1005,Jeffrey,Cohen,Female,Mathematics,01/08/2001
5,PHY / 1005,Brandon,Zhang,Female,Physics,26/06/2000
5,POL / 1005,James,Chung,Female,Political Science,28/01/2000
5,PSY / 1005,Lisa,Marshall,Female,Psychology,18/04/2002
6,BIO / 1006,Andrew,Kennedy,Male,Biology,21/10/2002
6,CHE / 1006,William,Brady,Male,Chemistry,08/12/1996
6,COM / 1006,Jennifer,Rivera,Female,Computer Science,10/03/1996
6,ECO / 1006,Steven,Thomas,Female,Economics,13/08/2001
6,ENG / 1006,Desiree,Hogan,Male,English,21/08/2001
6,HIS / 1006,Matthew,Burns,Male,History,05/06/2002
6,MAT / 1006,Robert,Stewart,Female,Mathematics,17/04/2000
6,PHY / 1006,Christina,Lowery,Male,Physics,24/09/2002
6,POL / 1006,Tiffany,Kelly,Female,Political Science,23/11/2000
6,PSY / 1006,Jessica,Gallagher,Female,Psychology,04/10/1996
7,BIO / 1007,Marcus,Willis,Male,Biology,03/05/2001
7,CHE / 1007,Nicholas,Jones,Male,Chemistry,20/12/1996
7,COM / 1007,Carlos,Thornton,Female,Computer Science,20/03/1996
7,ECO / 1007,Matthew,Mcintosh,Male,Economics,20/03/2000
7,ENG / 1007,Nathan,White,Female,English,03/01/1996
7,HIS / 1007,Gabriel,Phillips,Male,History,09/01/2002
7,MAT / 1007,Erik,Turner,Female,Mathematics,20/01/1997
7,PHY / 1007,Stacy,Potts,Female,Physics,02/01/1998
7,POL / 1007,Brian,Robinson,Female,Political Science,11/11/2001
7,PSY / 1007,Laurie,Tanner,Male,Psychology,15/03/1999
8,BIO / 1008,Richard,Hanna,Female,Biology,10/04/1999
8,CHE / 1008,Edward,Harrison,Female,Chemistry,22/11/1998
8,COM / 1008,Ashley,Bell,Male,Computer Science,24/05/2000
8,ECO / 1008,Gabriel,Blake,Female,Economics,14/07/1996
8,ENG / 1008,Paul,Galloway,Female,English,07/05/2000
8,HIS / 1008,Peter,Wilson,Female,History,13/02/2002
8,MAT / 1008,Michael,Jones,Female,Mathematics,10/12/1998
8,PHY / 1008,Thomas,Melendez,Female,Physics,09/02/1998
8,POL / 1008,Lawrence,Lin,Male,Political Science,01/06/1997
8,PSY / 1008,Robert,Rice,Female,Psychology,12/04/2002
9,BIO / 1009,John,Weaver,Female,Biology,13/06/2001
9,CHE / 1009,Kimberly,Mckenzie,Female,Chemistry,23/07/2001
